0,22,0.297,0.21
0,35,0.3,0.28
1,26,0.18,0.3
1,39,0.15,0.15
1,59,0.5,0.5
2,7,0.5,0.5
2,12,0.7,0.65
2,19,0.35,0.5
3,44,0.2124,0.3041
3,57,0.6797,0.2124
4,36,0.3,0.47
4,53,0.297,0.21
7,1,0.35,0.157
7,14,0.31,0.35
7,21,0.32,0.32
7,22,0.28,0.28
9,97,0.35,0.87
12,75,0.42,0.594
13,6,1.63,2.83
15,73,0.3,0.45
16,66,0.4,0.6
16,106,0.4,0.6
16,126,1.9,0.3
17,41,0.4,0.3
17,81,1.9,0.3
20,36,0.35,0.25
22,43,0.21,0.297
22,170,0.297,0.507
22,176,0.297,0.21
22,187,0.297,0.21
23,6,0.18,0.26
24,37,0.3,0.7
24,85,0.26,0.86
25,151,1.8288,2.4384
26,134,1.8288,2.4384
35,24,0.16,0.34
36,87,0.28,0.28
37,53,0.26,0.5
39,
